,Astro,Endo,Excitatory L2/3,Excitatory L4,Excitatory L5,Excitatory L6,Inhibitory Other,Inhibitory Pvalb,Inhibitory Sst,Inhibitory Vip,Micro,Neuron Other,Olig,Other,Smc
0,0.3047639,0.028517976,3.0800402e-06,2.0476531e-05,0.10699705,0.15392609,0.0021359646,0.002388429,0.19694984,0.09680911,0.0036830553,1.9639776e-05,0.00049799524,6.775404e-07,0.103286795
1,0.37861446,0.05758944,4.046047e-06,1.1635664e-05,0.008502187,0.09397297,0.036113348,0.007915787,0.10868236,0.07341989,9.403768e-06,0.00013807701,0.048968934,0.011863668,0.1741938
2,0.3207268,0.029070115,3.512569e-06,2.7470583e-06,5.1655243e-06,1.8762945e-05,0.00031763056,2.2294885e-06,0.0059651975,0.018825179,0.02713757,0.0679311,0.33962357,0.03979949,0.15057093
3,0.39741474,0.04942808,1.4496974e-06,0.011604564,3.0102174e-06,0.032820992,3.4183904e-06,0.04643164,5.9297315e-07,0.010671877,0.011103255,0.062049326,0.24235652,1.971525e-06,0.13610853
4,0.116726376,0.030429393,3.6647445e-05,4.226091e-06,0.15037489,0.27309105,7.72286e-05,0.024950156,0.04844322,0.09895916,0.014535209,0.039712217,0.04954858,0.011669351,0.14144221
5,0.13725351,0.016305221,0.051028382,2.5785872e-05,0.14688538,0.4183127,0.026674867,0.0019792623,0.00282638,0.027295612,0.02428947,0.0015960472,0.0039714295,0.0024577712,0.13909811
6,0.12443385,8.685947e-06,0.06328644,0.033995982,0.01873976,0.44611698,0.07786479,0.035789073,0.0020442465,0.029489405,0.028051458,8.920988e-05,0.018920075,0.020857494,0.10031256
7,0.15578233,0.03591816,0.058013152,0.0150829395,0.30457112,0.118416004,5.650377e-06,0.011400041,0.0031014122,0.099546015,0.028847227,0.025580375,0.030144913,0.025446864,0.08814381
8,0.15771164,0.00015662759,0.024361353,0.05483111,0.1751011,0.16621754,0.03128297,0.15055636,0.010763935,0.012548355,0.010143564,0.04732324,0.042703874,0.0015017303,0.114796534
9,0.24791217,3.8830503e-06,5.0000497e-05,0.05442865,0.33686492,4.1335104e-05,0.007490879,0.045399684,1.040883e-06,0.015347289,0.05065019,0.031838268,0.060231272,0.02408025,0.12566027
10,0.122544646,0.024253441,0.005257357,0.10933808,0.28995028,7.4089835e-06,0.09416844,0.07854954,4.4973498e-07,0.13443677,0.028231904,0.012117606,0.0003403404,0.011098741,0.089705065
