,q05cell_abundance_w_sf_Astro,q05cell_abundance_w_sf_Endo,q05cell_abundance_w_sf_Excitatory L2/3,q05cell_abundance_w_sf_Excitatory L4,q05cell_abundance_w_sf_Excitatory L5,q05cell_abundance_w_sf_Excitatory L6,q05cell_abundance_w_sf_Inhibitory Other,q05cell_abundance_w_sf_Inhibitory Pvalb,q05cell_abundance_w_sf_Inhibitory Sst,q05cell_abundance_w_sf_Inhibitory Vip,q05cell_abundance_w_sf_Micro,q05cell_abundance_w_sf_Neuron Other,q05cell_abundance_w_sf_Olig,q05cell_abundance_w_sf_Other,q05cell_abundance_w_sf_Smc
84,2.224499249458313,0.07301813028752804,1.303617489337921,0.42026334404945376,1.52903910279274,1.4115527093410491,2.0325995445251466,0.4971081092953682,1.5658777952194214,0.6963497251272202,0.1330781877040863,0.39527117311954496,0.06871120370924473,0.07189938388764858,0.3569326728582382
85,2.4142358899116516,0.2657472312450409,2.708303487300873,1.1002092361450195,1.409915292263031,1.4314203083515167,2.032803750038147,0.8429718285799027,1.2863960325717927,0.5895309269428253,0.3063713818788528,1.090282416343689,0.2892450958490372,0.35331799536943437,0.5571388632059098
86,3.2886939883232116,0.40238372832536695,3.854051959514618,3.493566083908081,1.6123371839523315,3.072388434410095,4.243562269210815,1.6688813328742982,3.223631775379181,1.0428895950317383,0.448330420255661,1.3001279354095459,0.2881728455424309,0.22350884974002838,0.920337688922882
87,3.4772865056991575,0.13793637305498124,5.10606882572174,6.271017718315124,1.4668086230754853,1.9728102743625642,2.6446441650390624,0.6608484089374542,2.1305603265762327,0.8117682188749313,0.5395281344652176,1.1408039271831512,0.14283537417650224,0.18889520391821862,0.6239406198263169
88,2.16709760427475,0.41447150260210036,2.6866421937942504,4.793899488449097,0.6758531510829926,1.6608297109603882,1.8187717139720916,0.7492173671722412,1.7617645502090453,0.5249926179647446,0.22555985823273658,1.442218154668808,0.08041988499462605,0.05301733165979385,0.53241366147995
89,1.5020516574382783,0.22900910377502443,2.8311147570610045,2.4113959312438964,0.5140999972820282,1.070831847190857,1.3790629088878632,0.7565447360277175,1.1108411729335785,0.5355491548776626,0.2579514801502228,0.5760090738534928,0.23602643087506295,0.2495182953774929,0.4808323547244072
90,2.3483049273490906,0.21741031110286713,5.1241919755935665,1.105337131023407,0.8069079548120499,1.4481023490428924,2.034454882144928,0.7394848495721817,1.4344910979270935,0.409150542318821,0.4440678238868713,0.9575695544481277,0.040335134416818616,0.1182816032320261,0.562433797121048
91,0.5709991991519928,0.02228445541113615,0.6912732869386673,0.31325664222240446,0.2795532211661339,0.5822225034236908,0.9569927364587784,0.0978319551795721,0.4585934191942215,0.18242546841502189,0.18038228675723075,0.5407946556806564,0.020153578091412782,0.08168963491916656,0.3424968168139458
92,3.639420175552368,0.3821373447775841,5.874296832084656,1.836064088344574,0.9780208110809326,2.1665836334228517,3.310610258579254,1.0395871996879578,1.8045142948627473,0.8256444931030273,0.26079955995082854,1.0799921452999115,0.055767289735376833,0.18419474214315415,0.7458262741565704
93,1.446228462457657,0.04711039084941149,0.6597825318574906,0.3249422714114189,0.14274710789322853,0.32351896464824675,0.28729704171419146,0.15153840109705924,0.24890112206339837,0.1480169765651226,0.37926159203052523,0.3415938436985016,0.030598798207938673,0.003269175544846803,0.02170432871207595
94,0.6441354393959046,0.03897790666669607,0.24474182203412057,0.16550718396902084,0.2445812091231346,0.05093607287853956,0.4074857160449028,0.16065984144806864,0.11398284286260604,0.04355590362101793,0.04336176719516516,0.12193020358681679,0.23938785269856452,0.021970902010798456,0.14870608001947402
95,2.1447560667991636,0.4054710641503334,1.5846287786960602,0.4359568148851395,1.5647044122219085,2.439626085758209,3.305758738517761,0.6743955373764038,1.4598686337471007,1.1135003745555878,0.16671251431107523,1.127111667394638,0.4091657936573029,0.1425897628068924,0.5446367621421814
96,2.928679120540619,0.2727953627705574,0.41179191172122953,0.3344443470239639,0.5173371344804764,0.40786383748054506,1.7033293962478637,0.45681783407926563,0.7497710406780242,0.2199317716062069,0.2007284864783287,1.0571939289569854,1.26153461933136,0.26445111334323884,0.2882775276899338
97,2.9641798615455626,0.05083805937319994,0.7125684678554535,0.15527424216270447,0.3341376334428787,0.4422111168503761,1.0966398894786835,0.245834069699049,0.5394067466259003,0.46712391823530197,0.020768388640135527,0.5620707750320435,1.2866346180438994,0.2541139155626297,0.22400613874197006
98,1.4928916573524476,0.2511239543557167,1.4681249797344207,0.45223099142313006,0.643179914355278,1.5922014713287354,1.091421777009964,0.3138909250497818,0.997390964627266,0.31774684339761733,0.19693121537566186,0.8343390196561813,1.1080929040908813,0.12376383431255818,0.32385619878768923
99,2.087486982345581,0.305113784968853,2.7043275594711305,0.7296375125646591,1.3329572439193726,3.8065176367759705,3.079087698459625,0.6976018786430359,1.3279894530773162,0.5804611891508102,0.24120777174830438,1.2100358366966248,0.42958524972200396,0.15671174228191376,0.762506303191185
100,3.182338500022888,0.3401012718677521,3.3446723222732544,1.205262118577957,1.43642760515213,4.867229461669922,3.17379390001297,2.110869550704956,2.7857230067253114,0.8521366864442825,0.3019641742110252,1.5573780953884124,0.3715184360742569,0.1048696618527174,1.0625484466552735
101,1.1558184802532196,0.06028769053518772,1.8581559777259826,1.3287968277931212,1.1090694308280944,2.3005422234535216,1.7453333020210267,1.1463999986648559,1.4842440783977509,0.5779677182435989,0.15938207358121873,0.7308841198682785,0.41549681425094603,0.16207522228360177,0.38422194570302964
102,5.514884567260742,0.8524348646402359,4.363905811309815,3.1374523520469664,2.5081024289131166,3.791802501678467,6.66627266407013,1.606633073091507,4.5364396333694454,1.884391975402832,0.5197662651538849,2.5970824003219604,0.5583818763494491,0.41299070566892626,1.2176407873630524
103,3.2702752709388734,0.5303714275360107,2.168324184417725,0.9989184379577637,2.6161885142326353,2.6574482321739197,3.805355453491211,1.613746440410614,1.9727335095405578,1.204386866092682,0.3139879748225212,1.9009563684463502,0.09257796965539455,0.047903315536677836,0.5697678953409195
104,3.023718273639679,0.18789120614528657,2.504526150226593,1.233237898349762,1.3946184813976288,2.2040711879730224,3.6943517684936524,2.2713644981384276,2.1266969561576845,0.7809993624687195,0.32657933682203294,0.8444660425186157,0.6662759721279145,0.21846323013305663,0.35899761915206907
