"","Astro","Endo","Excitatory.L2.3","Excitatory.L4","Excitatory.L5","Excitatory.L6","Inhibitory.Other","Inhibitory.Pvalb","Inhibitory.Sst","Inhibitory.Vip","Micro","Neuron.Other","Olig","Other","Smc"
"0",0.142977519026854,0.0154333872648804,0.000173381307407422,0.0217380590029201,0.181371694997761,0.169048772619396,0.040552116703918,0.0736479336235195,0.182671723228108,0.073775903348694,0.0215592843296859,0.0490327754308063,0.00296184381781508,0.00650423082843623,0.0185513744697977
"1",0.192087609875229,0.0277757672892912,0.000304254144324221,0.0587828975938254,0.0511062146941219,0.137287318248218,0.0536725930756104,0.0639271317208152,0.0803559115778668,0.0895834656582959,0.0245134995379983,0.0363972812446428,0.115310082628914,0.0192703052286983,0.0496256674821487
"2",0.0906737272400133,0.0135777886297486,0.0244254615658798,0.000215800659446686,0.0836930357019592,0.0611739795918608,0.0343784259011715,0.0698729117193067,0.044027598277934,0.0340898774769492,0.0428488608905853,0.095478377973582,0.323369473073058,0.0379667098127211,0.0442079714857833
"3",0.213770074139664,0.0197429390882558,0.0521234710574148,0.0296042173447849,0.038541775522329,0.0398977531022514,0.0138036629331641,0.0926545214253907,0.0322455398739322,0.0435608570017344,0.0176013954794453,0.0876775916337133,0.237396235075979,0.0348720301393883,0.0465079361825528
"4",0.0584283835720523,0.0243402696022118,0.000246158656515984,0.0298264192487693,0.0428432716066137,0.369752899537427,0.0234596080901245,0.0485564336156621,0.130166414877829,0.0554974408712274,0.0219668418668249,0.0697449905953251,0.0739178824643925,0.0169533314403946,0.0342996539546298
"5",0.0763578357663533,0.0108015517156407,0.0191889799266409,0.0984485013658721,0.0950468691217222,0.426286569655225,0.00409390795889566,0.0475310567921816,0.0286188568909738,0.052099212225099,0.0415949110140779,0.0382186119426599,0.0215167290266383,0.00285812633276157,0.0373382802652577
"6",0.0626238784441616,0.00583387357447605,0.000156219218681365,0.0923792709848844,0.0511671121790531,0.477722832223334,0.046533593027873,0.0670703385319625,0.0171870136616805,0.04783381845181,0.028878515155271,0.0254833731707988,0.0425192451663794,0.00852985057992768,0.0260810656297066
"7",0.0862098516028815,0.0214320912198789,0.0128741099827433,0.0866659978364765,0.186890598577582,0.220804670410999,0.000169535201735522,0.0516714708677778,0.0286708909313913,0.0979451356071087,0.038642694790316,0.0694558643554548,0.0482092909507937,0.0280484712462713,0.0223093264185901
"8",0.0846339403631082,0.00595034713521657,0.0136315164977374,0.094875769531536,0.178797887811494,0.192089636962944,0.0370337553649273,0.157585678921087,0.030677541583226,0.0227766577226137,0.0174302161037519,0.0625040133508216,0.0564993160243062,0.0187863226013709,0.0267274000258598
"9",0.104216167483415,0.000117328126140139,0.0160859775634736,0.0114758908459555,0.421457426767203,0.0632240594202507,0.0149773767595792,0.0865002601678032,0.0406877930427791,0.0443179227772964,0.0426418624763321,0.0352113286693686,0.0621050540412911,0.0394794314456943,0.0175021204134186
"10",0.0660089010135533,0.00942524404240137,9.77813778592765e-05,0.139647119280671,0.31236357551518,0.0792250320178032,0.0431456687757489,0.122736976666937,0.015746672914347,0.0822846529187831,0.0487659798779199,0.0397716109533477,0.00386440311225982,0.0156557483744354,0.0212606331587534
"11",0.073233891950006,0.0302865095817837,0.000166871815187929,0.36886459653321,0.0966020706967001,0.0213806094939078,0.00127036797067925,0.0511612246544461,0.136528915142208,0.0294126932600045,0.0450745516959779,0.0614733941756045,0.0307276697650404,0.0164823586866341,0.0373342745786105
"12",0.0763634377697976,0.00552713050912873,0.0760209107443819,0.350278925836785,0.0869589531120327,0.0787692799286426,0.0307387052424334,0.0956573000101011,0.0159427516635133,0.0627045091424073,0.0203332958991359,0.0441452447023459,0.011968809318957,0.0175091681067339,0.0270815780136034
"13",0.0572706137711868,0.0139290242444816,0.178073546527111,0.240695438220715,0.0977115591165813,0.131692178248981,0.00739683878236358,0.0381857131974951,0.0160027319018187,0.0978969978526846,0.0520663489999886,0.0199598953743331,0.00673998697635626,0.0151845013096385,0.0271946254762649
"14",0.0538712253851278,0.0302804147520343,0.316747170024907,0.1017946237671,1.49068174587115e-07,0.0471147925827739,0.0482239064668951,0.00560206752468901,0.211812266871286,0.0215686757968774,0.0439218063735669,0.0382009182744204,0.0235712611637865,0.0167618740931295,0.0405288478552319
