	PCC	SSIM	JS	RMSE
E2f7	0.4980362557178657	0.2653197507562023	0.06229896682300154	1.001961819913448
Zfp354a	0.7155536365338464	0.5015948701947129	0.05146927168565752	0.754249777548729
Irf2	0.4885172063418163	0.3644001491770424	0.07104281856540973	1.0114176127180936
Bhlhe41	0.015370968741756134	0.03198721522552042	0.08850551207320492	1.4033025555868155
Lmx1a	-0.08728320930230551	-0.02480818539552212	0.20844258023887047	1.4746411151885774
E2f2	0.5994523609675435	0.4292471762283822	0.05213790112314291	0.8950392606276627
Zic4	0.16041057931017394	0.1529472796125024	0.08198202637981065	1.2958313321492314
Zkscan17	0.6540922870956363	0.4187053470588797	0.07014012291006011	0.8317544263836095
Nfatc3	0.3894432139059147	0.3490432850610648	0.06730209746772815	1.1050400771864208
Pou3f2	0.586147225970306	0.2375446452460975	0.07209466026388575	0.9097832423491806
Eomes	0.6941116878917395	0.604199997486908	0.04761962825707865	0.7821615077568834
Sox13	0.5257836135245838	0.4123781351646459	0.06261595820179185	0.9738751321143959
Gli3	0.5684503059851383	0.26487983576638713	0.06482206730270966	0.9290314246728812
Nr2e1	0.14027910633362795	0.05756284039981587	0.08600313759306473	1.3112748710063593
Lpp	0.5531950239117779	0.3988603583794519	0.06669629406791275	0.9453094478404648
Relb	0.6369613815256647	0.4263579148270481	0.05885137982690256	0.8521016588111248
Nr2f2	0.4704472606318196	0.3779918240528867	0.0727040142929287	1.0291285044815155
Alx1	0.5228915870960236	0.3109840976260673	0.06535661903346003	0.9768402253224184
Smad5	0.6145212110085059	0.4358907156206248	0.06105076064300725	0.8780418999017008
Rnf2	0.6802478506035542	0.3969462942465744	0.06642605765707575	0.7996901267321558
Vezf1	0.517251739637024	0.34791441548420976	0.058978312275421385	0.9825968251149358
Ar	0.6790561876980754	0.4889577867108133	0.05451653361226745	0.8011788967539328
Topors	0.5553045859454662	0.37351379072169977	0.06880360430980338	0.9430751974837784
Sin3a	0.5384068506469442	0.3945399673501447	0.062122780796564164	0.960825842026593
Gli2	0.3445278613382022	0.16953697496102468	0.08027647486411864	1.1449647493803448
Tal1	0.5770112907271936	0.3529619762949346	0.05117826355384142	0.9197703074929156
Sall3	0.3622907604270987	0.14490461907813248	0.08178415602446512	1.1293442695413136
Mtf2	0.6022126195922235	0.4014526717490592	0.06726881694673649	0.8919499766329684
Taf2	0.4738654247648509	0.3522813863578	0.0664435807007134	1.0258017110876243
Cdc5l	0.6500555558695561	0.4296513181057495	0.0636892127369125	0.8365936219341431
Zfp263	0.6867761149574829	0.3921655538825261	0.0650698606725002	0.7914845355943692
Maml3	0.1786855327612482	0.17770062812639695	0.07285500190542354	1.2816508629410366
Tsc2	0.6229727201694036	0.3660779430405272	0.06147177422825033	0.8683631496448896
Elf2	0.6028361692347441	0.3988806053298787	0.06827944634961827	0.8912506165666936
Mafk	0.5812453395431487	0.4119920089109084	0.05572105510651733	0.9151553534311552
Gmeb2	0.5850620498256911	0.4188047161313884	0.08048789652112204	0.910975246836388
Mzf1	0.4169525503325211	0.24694668384062454	0.07182381074802432	1.0798587404540272
Egf	0.5836053635720195	0.3187346180934628	0.06976383805841292	0.9125728863252296
Mn1	0.6441112608534922	0.3179230881099244	0.06268042401408988	0.8436690573281773
Trp73	0.07432209625694705	0.09036324279888537	0.0904768327342991	1.3606453643349194
Srebf1	0.05696239194541386	0.07535848620544172	0.0975790373421588	1.3733445365636299
Bach2	0.6275298737086459	0.4309303658691607	0.057120995319244874	0.8630992136381009
Cebpg	0.6367680408906088	0.4635617166682708	0.059331586503934684	0.8523285271647209
Nfe2l2	0.39487615452237546	0.3157133971711761	0.07338494581958865	1.1001125810367087
Tbr1	0.5933971215069653	0.3157123626097945	0.06561069789958568	0.901779217428562
Mycn	0.6314773731839493	0.333949432525528	0.054156637968113916	0.8585133974680309
Rbpj	0.6738545496358046	0.4669375735439791	0.055583093848251566	0.80764528149949
Tbx2	0.5371118796629211	0.4461377388588415	0.0706059411829775	0.9621726667673312
Bach1	0.5707800340365552	0.3988803239380044	0.06052278857093363	0.926520335409261
Ptch1	0.2845939564503149	0.2329529150475892	0.06404751937464995	1.196165576790843
Tbx15	0.5375022794353692	0.4795633114964088	0.06087512585344089	0.9617668330366052
Pin1	0.6536825308755883	0.3455738380142026	0.06581195550691649	0.8322469214414815
Neurod4	0.6635879681244933	0.5836094700815843	0.05005452958611575	0.8202585347017204
Sox9	0.03465740493181785	0.07465839387797647	0.09320274436750936	1.3894909823875663
Hic1	0.5769060050834602	0.4994592009146995	0.05082789525112452	0.9198847698668998
Clock	0.5849902277056268	0.3910503923949984	0.06441360737045235	0.9110540843378871
Scml2	0.4844677560439373	0.3065561413938957	0.07137395438448907	1.015413456633368
En1	-0.2645664451051897	-0.08670485438890893	0.09659541981271748	1.5903247750728084
Sox17	0.5284498336150196	0.42445119035682	0.061255860626279426	0.9711335298350896
Ppargc1b	0.37303874350788463	0.30015109206460266	0.07413755841382516	1.1197868158646227
Zfp64	0.6196563668585168	0.344231925980694	0.07266469863408925	0.8721738738823621
Ahr	0.5973469750845777	0.4374074887439693	0.0592676125288145	0.8973884609414391
Cbfa2t3	0.6861154967211074	0.5711465330637558	0.05581675685467506	0.7923187531276698
Nfkbiz	0.2872963726257828	0.17753599277576593	0.09090467196052676	1.1939042066884742
Mybl1	0.5454149423723509	0.2363305043363465	0.08588038757683307	0.9535041244039264
Pknox1	0.6613586548967989	0.4273734484870334	0.0568046032191723	0.8229718647720601
Prdm1	0.5941668647295344	0.506601392262699	0.05476367310040416	0.9009252302721528
Nr4a3	0.7056218675994719	0.4931059188780604	0.05069508749318278	0.7673045450152477
Nfatc4	0.6895443017945699	0.5848166413754858	0.05167379678262322	0.787979312171874
Zic2	0.3946787834040936	0.3340112152377616	0.0630585830833978	1.1002919763371053
Ctnnb1	0.5188920567867197	0.4142025706930225	0.05070778624512022	0.9809260351456478
Onecut2	0.6791739847345684	0.48405432386688396	0.048344241450708016	0.8010318536305927
Smad9	0.11060949616633747	0.10234521863975607	0.08071778971102332	1.3337094914813066
Plag1	-0.01796157198122376	0.010556284457284557	0.12365303385742354	1.4268577868738168
Pgr	0.5568769074920481	0.2595304148281172	0.06714518131057587	0.9414064929752204
Rybp	0.5516898372575451	0.38454860839289257	0.058890516312215625	0.9469003778037636
Klf1	0.3876507673674361	0.2493680887562285	0.07559365168034296	1.106660953167287
Rxra	0.3054073294017217	0.3086974481077545	0.06792226742802142	1.1786370693290436
