,Astro,CR,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5and6,Inhibitory,Micro,Olig,Peri,Smc,VLMC
3,0.03627577633533556,4.789870694240123e-08,0.005885241445393563,0.06509353280691203,0.06863773392192,0.2682821187202341,0.5393798978277895,0.005716045334167555,0.0018079377759237182,0.001744708684569778,0.0012505098938398384,0.0059264493552076605
4,0.027593689591658366,2.305887278330164e-05,0.015498576472304511,0.07506251148720904,0.11215863473019745,0.32143117516202596,0.4183229021605913,0.0071335371096281006,0.005308083258731664,0.0030253185828812094,0.0038068993866254303,0.010635613185363582
5,0.02288765150787266,1.6257546598793952e-06,0.00841036304146829,0.06749169687728152,0.06871229766458507,0.2732984299380707,0.5432380598701154,0.004031111030534027,0.002536419302367021,0.0011436329797943465,0.0020879480985213895,0.006160763934729518
6,0.022453960419732806,2.118955756245083e-05,0.008686805966501617,0.06956358938477368,0.0759669760257909,0.2829051050437873,0.5217231661949984,0.004043562540620081,0.004671514956746214,0.0018915299968507958,0.002360253304446103,0.005712346608189474
7,0.024978244012327094,3.5543330335249706e-06,0.009223063598941742,0.08488061924599953,0.09320806071617062,0.2880113037679438,0.4807343512252713,0.004909801671014776,0.0037687409172230614,0.0009819646547479374,0.002734812480711872,0.006565483376614649
8,0.02250368112168195,7.697717479584012e-05,0.009535683787096043,0.0833566444318332,0.09457161201849501,0.31450548975802106,0.4520242723000224,0.005915957014645266,0.00423371708956402,0.0018276790548772187,0.0034347199908489764,0.00801356625811906
9,0.02775894820564249,6.9220798232812306e-06,0.012661299560723458,0.08712871191844375,0.10337427619666001,0.3374607519195577,0.40710153459392995,0.006041652699173632,0.004223692100425005,0.0016529516731041622,0.0034765266313473734,0.009112732421169303
10,0.023359901619391665,1.2635756844030917e-05,0.009886014650158391,0.09138948613813612,0.09630699038497223,0.2953633416748345,0.46209065003349054,0.005790571815083326,0.0044096141427843105,0.0013148117157793658,0.0032064642554462414,0.006869517813079197
11,0.018553114813871542,7.209658038804326e-06,0.0074653999187465556,0.07131939752423178,0.08704814608354626,0.2889630285808202,0.5098583063494189,0.0040203842621179,0.0030677367192650964,0.0011700963522258464,0.002924524455175977,0.00560265528254137
12,0.029460060475719384,4.605180844528551e-05,0.01378069591642699,0.0763944968508928,0.12349556953996468,0.31614892503171055,0.4077870358422979,0.00811873912115911,0.0058715946187553455,0.0032864995074788138,0.005400585309613659,0.010209745977535664
13,0.028047371616890936,9.669545514188502e-06,0.011834954584720352,0.08296457931793688,0.10812364335447598,0.3285363771928289,0.41376336023926186,0.0067851222581697635,0.004431442310244198,0.001843206798181094,0.004882232825614711,0.008778039956161268
14,0.03184794017105979,4.55436403367857e-06,0.011710433774540986,0.07264695116247533,0.11589380543438159,0.3195452485877318,0.4217268645124266,0.007571468778669194,0.005214267737187381,0.0023894616468923663,0.0037753803287907,0.0076736235018106174
15,0.019343396927360354,2.33373281035251e-09,0.008335300752188307,0.0958957961965178,0.1174737870244501,0.31200002634564883,0.4267234143518613,0.004625001049187752,0.0050632443168906775,0.0016869402791869085,0.0031936595293491766,0.005659430893626067
16,0.037467262802877946,1.0927448523231633e-05,0.013864931083035808,0.07797120110943402,0.12548113156359914,0.2907938772476611,0.42678911865364705,0.006571762371938777,0.0056428524519064865,0.0026790750701736984,0.004514944120113225,0.008212916077089542
17,0.03086237027198425,1.362027215794729e-05,0.014265759037768656,0.06890594804552636,0.1057882824033037,0.32037467381867163,0.4337156613364902,0.006803872584694831,0.004259003026162266,0.0014877515707285474,0.004468191902024309,0.009054865730487327
18,0.024486382840442925,6.104368552793094e-06,0.01243772090311157,0.06135542201482573,0.12087452111243553,0.3335089026184945,0.42580274272981594,0.005036272303598604,0.003981284710491839,0.0015297320299021053,0.0037958540216884618,0.007185060346640264
19,0.015264395546082426,1.7486860350903004e-08,0.006918026199976728,0.045759251692448974,0.09200996474438207,0.3046629933453979,0.5291151309664824,0.0013832918213009786,0.0002929864917402546,0.0012733295358079554,0.0011867161320441274,0.0021338960374758832
20,0.025153098599515658,2.1898150343426395e-06,0.012788288317257286,0.06425034866900231,0.12450674772795403,0.3226741206352842,0.42780743122417564,0.004889883858991971,0.0048302047724330605,0.0021461642195086373,0.003715709278506403,0.007235812882336378
21,0.02040899344190189,1.020676707089403e-05,0.0092262909455035,0.06062298632273487,0.12357130047543033,0.3241189517400456,0.44197074127165825,0.004668228818478626,0.003932847681144628,0.0019039457733977508,0.002623797398754724,0.006941709363878679
22,0.02583402465642803,6.345451722788727e-06,0.010659905384499927,0.06569418911283977,0.1506758685314487,0.32864796103933136,0.39365373375091745,0.00669222130515612,0.004025423695084447,0.0022174529025138466,0.0043927091779119125,0.007500164992145707
23,0.029753179239064977,1.0223124172916773e-07,0.005694926542985474,0.0555348708080488,0.10343035158621679,0.33120109662233754,0.45946197600583605,0.003200600199023287,0.002672806787841431,0.0022374056548242474,0.0019665216581524524,0.004846162664427245
24,0.03167288534386484,2.6248508427635557e-05,0.013191658944786864,0.06678754239810987,0.12918943024440394,0.3320122747270166,0.39936389543095213,0.006861489102063814,0.006359628512830865,0.0012631533484535884,0.004490526987490875,0.008781266451599098
25,0.029831687857560473,5.250155587981235e-06,0.010810746604153322,0.07238217445562817,0.12649989235165185,0.30441485729862594,0.43166161307490775,0.005926205097396801,0.005328846297075698,0.000959697298699342,0.0037891581029704225,0.008389871405742206
26,0.024499268977608995,6.458459915766417e-06,0.011539096722664115,0.06641149148792785,0.13461128999107536,0.3291453438044573,0.409248335837605,0.005575305222358825,0.005161868790473695,0.002805284737841445,0.003907431766038496,0.007088824202033066
27,0.024506324802489078,4.884493239599824e-07,0.00982308604746619,0.06062941490650542,0.14236935059057948,0.32486685844719704,0.42050387164637076,0.004674141053678982,0.0034146726965757685,0.0015816317134981644,0.002611785580651341,0.005018374065663876
28,0.023811710514798547,1.1729039063821546e-05,0.013661129541105769,0.058390535015084635,0.08322889226979745,0.3172909730305769,0.47340776536940554,0.006670168649607739,0.00664086900071767,0.0014763774170811913,0.005411644073220839,0.009998206079539827
29,0.027659438174705175,2.085609828321527e-06,0.016388795000108248,0.05854116313770593,0.08885818975156769,0.29671065968196175,0.47304168191201035,0.009087433109360755,0.007798691566925624,0.0028545829103642003,0.006106882217339094,0.012950396928122691
