,Astro,CR,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5and6,Inhibitory,Micro,Olig,Peri,Smc,VLMC
0,0.018285276571046345,0.0016247037447198235,0.011930045607424746,0.0008486474952851824,0.00166674318042015,0.0015053914110190311,0.08519631676541607,0.7789196092615566,0.020444134286336464,0.013315424733856652,0.04558527689838359,0.02067843004453566
1,0.01832153568209444,0.0016367235984838203,0.012081536417095008,0.0008492388088189864,0.0016608670640670337,0.0015058534086773885,0.08729148888481578,0.7732666980614629,0.021047948841692265,0.013477184339022607,0.04706784633940027,0.02179307855436945
2,0.052454885887555855,0.007846882592552598,0.040058183517249414,0.004138146389912179,0.00769449785686853,0.006835390868016638,0.2590983890667207,0.30958015067224975,0.06821465081904654,0.052280048266297285,0.12852867769531767,0.06327009636821267
3,0.03282735159677112,0.0036210007190434312,0.022222459184696647,0.0019185943364406547,0.0036299072558236135,0.0032486392185191245,0.13712646228263156,0.6131294350465006,0.03856359592776203,0.026148914433861904,0.07891186071950039,0.03865177927844899
4,0.0336953197095354,0.0039530255661755056,0.024148454553181556,0.0020998808137857646,0.0039899016827254895,0.0035834799876383046,0.1623256768649386,0.5678429569211428,0.04191508980361682,0.029128967070712154,0.08643158334288249,0.040885663683665356
5,0.05919896389959109,0.012127825584054218,0.050839948618528356,0.006343997063830487,0.01157923704025874,0.010208905298908293,0.34229579840059365,0.12360293404981769,0.08556829954175889,0.07238354023137826,0.1493645054102577,0.07648604486102278
6,0.0653218116367388,0.016303060048960046,0.058797114549042406,0.008687216250907653,0.01533640615311725,0.013357864597529303,0.33848510161382406,0.06175756433642926,0.09642360835544203,0.08562547051920676,0.15548093034838006,0.08442385159042247
7,0.06540107527828275,0.011792435386003323,0.052936225520436975,0.006499491992028163,0.0115282892964894,0.010142179870957977,0.26310197183754336,0.1951877087722999,0.0859372465525558,0.06734798892528795,0.1512148233094586,0.07891056325865585
8,0.06348558254528058,0.015738856656436588,0.057470499914384056,0.008411676470415871,0.014892372216671447,0.01304508729516877,0.34357982116738045,0.06572713613873951,0.09512534390292442,0.08345912236504896,0.15614512853123058,0.08291937279631863
9,0.05990355751494267,0.023872547689640342,0.06113882862872121,0.012465896067237062,0.021344126922739647,0.01832320045121868,0.3637353179769523,0.01559591112309112,0.0987690846775015,0.10102150650529171,0.1414667212199818,0.08236330122268203
10,0.061481730788979734,0.029299763681950124,0.0649294683650684,0.015588433751028606,0.02586164589808484,0.021969415235052248,0.3373988033120771,0.011936639728380589,0.10212895002621886,0.10863849428901824,0.13615660046289543,0.08461005446124582
11,0.06892224764626832,0.02507722304817958,0.06811097255451927,0.01389066497200363,0.023101987511756288,0.019805962840570002,0.3115853438782987,0.01978125375041307,0.10571012454880199,0.10344608495451403,0.15089518199486082,0.08967295229981416
