,Vip,Lamp5,Sst,Sncg,Serpinf1,Pvalb,Endo,Peri,L6CT,L6b,L6IT,L2and3IT,CR,L5PT,NP,L4,L5IT,Oligo,Meis2,Astro,Macrophage,VLMC,SMC
25,1.4487894,0.9221101,0.93797565,0.15867658,1.262775e-06,0.567366,0.019704338,0.03263903,1.5356858,0.77101415,3.0561504,0.6577724,1.6482043e-05,0.15534858,0.24607813,0.8312243,0.8993709,0.043793045,0.08159489,0.1621143,0.03388251,0.040452972,0.06927515
26,0.92932373,0.7202147,0.98576343,0.03344506,1.8329999e-07,0.703852,0.0027185334,3.4124747e-07,0.5998639,0.2535307,1.626642,0.68681026,0.008563359,0.49634776,0.43174988,0.52911246,0.6831161,0.0444083,1.2629379e-06,0.13362896,0.0046872417,0.043081574,0.06861993
27,0.33002698,0.4620244,0.35509256,0.068875484,3.294573e-07,0.09479639,0.033380464,2.0583377e-07,0.15149689,0.10991472,0.8426715,0.1476931,0.0012681579,0.82153213,0.23568854,0.23616502,0.00726918,0.022657119,0.031954754,0.1218953,2.9652294e-06,0.015460914,0.01278876
28,0.6208894,0.5657662,1.4044296,0.0013266623,5.890981e-07,0.24387299,0.036152303,0.026522942,0.2592845,0.14837824,0.68933064,0.39726537,0.026939442,1.0223463,0.09585925,0.42871836,1.2646662,0.08324637,0.011613715,0.17705217,0.0620683,0.048151247,0.026373485
29,1.769497,0.464737,0.91822946,0.06679181,4.776797e-07,0.78834134,0.11267649,0.031894237,0.8053709,0.14985444,0.9964776,0.3528157,0.009390288,0.41487592,0.18073098,0.88828766,1.3704755,0.020372227,0.05520839,0.41998267,0.022529505,0.045480594,0.03930697
30,1.1247844,0.72455037,1.896167,0.013206345,2.6677503e-07,0.9249809,0.09843027,0.038812798,0.49949828,0.20633617,1.5751324,0.4589377,0.0071164174,0.084271535,0.4854569,1.132122,0.90181744,0.026581923,0.097018,0.11385293,0.06688197,0.0897677,0.030925857
31,1.0407836,0.78924626,1.4194696,0.3344422,9.989169e-07,1.3647529,0.111766174,0.031635705,0.8390162,0.26528224,1.2910594,0.9492232,0.0027705703,0.13339403,0.47132078,1.9199904,0.97912073,0.016268931,0.0040167077,0.2618811,0.21954061,0.07206446,0.079674065
32,0.6791637,0.9883861,1.3570186,0.0297264,0.034250356,0.7996192,0.07182551,0.025558665,0.49176943,0.11813633,1.3362889,1.0217266,0.023313554,0.38451797,0.11624536,1.1805699,0.63334465,0.0033959132,0.011604963,0.2343514,0.02628402,0.09755618,0.025946919
33,1.1552293,0.5518856,0.51059663,0.13103056,1.3589225e-07,0.41667485,0.06813874,2.6743012e-07,0.21457776,0.3475226,1.105572,1.4309523,0.061875854,0.2003228,0.22925326,0.79097974,0.43692362,0.030455321,0.022129904,0.31037405,0.039492972,0.04858309,0.054941293
34,1.5964142,0.79511315,1.1689315,0.022119423,3.9333418e-07,0.6605459,0.07343286,0.0842957,0.66253674,0.24013393,1.3352892,1.7424345,0.01866675,0.30968243,0.09085037,0.89677405,0.9647738,0.020401035,0.1055933,0.21566764,0.16510195,0.0942096,0.03980142
