,Astro,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5,ExcitatoryL6,Micro,Olig,Pvalb,Smc,Sst,Vip
150,0.25983042280650703,0.12142738538495067,0.024234631934298066,0.027538099719090593,0.0859500716044024,0.08418170006722805,0.09703978006869775,0.1259258460092754,0.026583318094998736,0.08308082176405018,0.024163760142908153,0.040044162403593
151,0.16709753481002232,0.10209598154706223,0.0270125626056645,0.028421247860572815,0.10758663929927914,0.10103208433910366,0.09608237544932456,0.1477693051439928,0.04882723601139182,0.07172215704589004,0.05191164557449898,0.05044123031319726
152,0.1533330539281757,0.11734183118926264,0.023506338016594526,0.022933712108703288,0.08932550474230518,0.08728010541118013,0.11133987385971504,0.159315466927055,0.041992607717664825,0.1160941850498134,0.038696167985964654,0.03884115306356555
153,0.08125256148145336,0.0707375905501794,0.03171385610247992,0.031815885990712105,0.1177124030593806,0.11621202449524434,0.08955334032353271,0.20568337267014092,0.06995759482751246,0.07454967021226162,0.05780709712594054,0.05300460316116219
154,0.0429357020580079,0.0361820950071922,0.06342632453913717,0.05935497792586027,0.2377828411261732,0.29779471021096515,0.045716755055897576,0.055383781389602246,0.04143452116254168,0.04072950352325594,0.043772317761104546,0.03548647024026228
155,0.015345977068097651,0.018657567215029022,0.07609664917938717,0.08227364064179873,0.24477546626145927,0.2913414903758917,0.021661031609654248,0.01830305110570829,0.0689924032228349,0.03088799638232494,0.07795928445166807,0.05370544248614625
156,0.015582581400094313,0.018925276320554945,0.07372682918885086,0.07413796458965374,0.2745126285527034,0.3173289657499829,0.03007900141849999,0.02269264843860819,0.04145542627924964,0.03377648800115657,0.05553458470933024,0.04224760535131522
157,0.03875931110358906,0.022072496230916932,0.05653545341214962,0.06474114005790865,0.2437684929134841,0.21326328216267385,0.029584310405270986,0.040956288426788647,0.09638078853388563,0.03704749859795296,0.09648412476530537,0.06040681339007432
158,0.09508759375682409,0.03412666761514857,0.04544956900016816,0.05802419672383333,0.2548430997396089,0.21291210824439794,0.041404352325332655,0.04695063961924283,0.060204214187720144,0.04021093924643664,0.053872535148422496,0.05691408439286438
159,0.035397807029503514,0.023912750180625504,0.06775670970634451,0.0745300310182583,0.26016896674148965,0.21772829508821173,0.03100997320747043,0.02654083059999957,0.07764030799086898,0.030056421146511875,0.09177276308319883,0.06348514420751711
160,0.02756175326437219,0.032040751286365125,0.06875207777796315,0.08754944304319175,0.2617366338070329,0.21935111771024393,0.03263332193007571,0.028718804056047847,0.07780986766483886,0.030238524596735775,0.07770492782220711,0.05590277704092573
161,0.04288643984311915,0.034499787454596975,0.079902928329189,0.1164767287215898,0.2438809536721399,0.21445024220739137,0.03637570269333414,0.033178521863671415,0.05192651928012045,0.05020610599003997,0.05403085869896301,0.042185211245844664
162,0.03686227112214728,0.03223470644144107,0.09237957734436941,0.11347599880838212,0.2375641461165453,0.19796131036376138,0.03745455365520151,0.03570101981248597,0.06021419715296898,0.05436537889111511,0.05838959442736269,0.04339724586421924
163,0.03643106410911079,0.02077969635016614,0.10527974012056295,0.11438308321173597,0.2462443314847154,0.22815977441940885,0.029630607732329693,0.0296772411832791,0.057289758974696174,0.03736374796455112,0.051066854880436593,0.043694099569007216
164,0.03539428640473405,0.023820789462610473,0.12376227073655108,0.10380267538341266,0.2504107292564669,0.24632323510221152,0.0324309024498633,0.03153336738589467,0.03725565438009096,0.034222207385164106,0.041520310558226386,0.03952357149477379
165,0.025976015325076,0.027598131532968626,0.12483295482136883,0.09522295023362347,0.23097438615746932,0.24815756048596724,0.03210257827322885,0.023654994857033467,0.044379275298708984,0.04641945547293833,0.05439170915397556,0.04628998838764134
166,0.025823750875474505,0.031529250753103734,0.13056317981305393,0.0935299817216381,0.22309412198619538,0.22701742661555063,0.040168150330351655,0.03641993716315676,0.04677803787197244,0.05802230725029688,0.04127923704060413,0.04577461857860172
167,0.03477700299064076,0.030686038035189815,0.13208073222279082,0.08079077195544081,0.21695088681542124,0.22868859547621181,0.0416114526217239,0.029264220976993757,0.054845502098244805,0.04144011468869438,0.05915313332337339,0.04971154879527469
168,0.11366816784750344,0.12346697819020029,0.03513466393322282,0.033753799962170775,0.10551365688787614,0.10577885691857344,0.10811695245972246,0.08330321455580589,0.06170424023002429,0.05901378160950544,0.07217470515198263,0.09837098225341229
169,0.17633898999069356,0.0743040953703794,0.0222529719648058,0.026851071599668278,0.10797209847291103,0.10298346918302954,0.15432932836770863,0.10419507718530222,0.06194395093613309,0.06656073771751764,0.052595266780109444,0.049672942431741196
170,0.20349492065186664,0.07456166861361743,0.024621330938767273,0.02971129044570887,0.09251669426093316,0.07631683192159461,0.08899931031232926,0.16916910285437323,0.054813269439055956,0.07511970159049527,0.05238109930873216,0.058294779662526074
171,0.10726838796007777,0.08027451802524213,0.03892548209963712,0.0318340592086271,0.1351314405196469,0.1312299150861727,0.07756773095317919,0.18226843221659889,0.05273753775312601,0.060440657311187106,0.0521407204223447,0.0501811184441603
172,0.14265285662280902,0.10761512577470043,0.031234942140434794,0.02827421933639662,0.10284892630551262,0.10331526846844295,0.08731873888490109,0.16052025078372345,0.05270613961313608,0.10519800988413829,0.03756736727493396,0.04074815491087062
173,0.05696393824418692,0.038571878247555015,0.05952243190299483,0.062303048093238445,0.21463485661165055,0.24558994135682538,0.05692420498718166,0.050063737040712215,0.04727067982956204,0.054614362158648504,0.05502515665359694,0.05851576487384731
174,0.018176129919355428,0.020431580009888876,0.07394454874054782,0.08480682343485338,0.29055343341558554,0.29703715914510415,0.027658972421111025,0.019034848096109475,0.04588719667843516,0.02896106416866257,0.05011621047564297,0.043392033494703434
175,0.07676250457317478,0.0346950227640653,0.06574566864971282,0.0629975132034777,0.23874037095004627,0.27564896764416885,0.03587161321135782,0.03450187519638983,0.04208585911329677,0.0531407886536384,0.040271238251458605,0.039538577789212895
176,0.02961029127416092,0.0276519941630531,0.05598230146275164,0.05343711045226427,0.19757080878710068,0.21206234348353073,0.035275901861484944,0.03641587499312685,0.12111326626547615,0.04481359718791908,0.1112815781493732,0.07478493191975846
177,0.0183134921865332,0.02266608304010893,0.06688685993929733,0.06399060701973422,0.29838505051354686,0.24753591923984095,0.036084931557997975,0.027051223285263694,0.057192681145370794,0.039344275321033406,0.0670841063744109,0.05546477037686183
