	cell_count
0	1
1	3
2	4
3	3
4	2
5	9
6	10
7	10
8	13
9	8
10	13
11	13
12	8
13	11
14	9
15	7
16	7
17	10
18	13
19	4
20	8
21	16
22	8
23	10
24	6
25	8
26	6
27	4
28	6
29	5
30	8
31	5
32	5
33	9
34	7
35	3
36	3
37	13
38	7
39	5
40	8
41	6
42	12
43	2
44	7
45	11
46	9
47	6
48	2
49	1
50	1
51	9
52	11
53	12
54	17
55	5
56	12
57	3
58	3
59	8
60	10
61	9
62	10
63	10
64	5
65	6
66	12
67	12
68	1
69	2
70	1
71	1
