F1S4_161209_002_E01	Excitatory L6
F1S4_161209_002_F01	Excitatory L6
F1S4_161209_002_G01	Excitatory L6
F1S4_161209_002_H01	Excitatory L6
F1S4_161209_003_A01	Excitatory L6
F1S4_161209_003_B01	Excitatory L6
F1S4_161209_003_C01	Excitatory L6
F1S4_161209_003_D01	Excitatory L6
F1S4_161209_003_E01	Excitatory L6
F1S4_161209_003_F01	Excitatory L6
F1S4_161209_003_G01	Excitatory L6
F1S4_161209_003_H01	Excitatory L6
F1S4_161209_004_A01	Excitatory L6
F1S4_161209_004_B01	Excitatory L6
F1S4_161209_004_C01	Excitatory L6
F1S4_161209_004_D01	Excitatory L6
F1S4_161209_004_E01	Excitatory L6
F1S4_161209_004_F01	Excitatory L6
F1S4_161209_004_G01	Excitatory L6
F1S4_161209_004_H01	Excitatory L6
F1S4_161209_005_A01	Excitatory L6
F1S4_161209_005_B01	Excitatory L6
F1S4_161209_005_C01	Excitatory L6
F1S4_161209_005_D01	Excitatory L6
F1S4_161209_005_E01	Excitatory L6
F1S4_161209_005_F01	Excitatory L6
F1S4_161209_005_H01	Excitatory L6
F1S4_161209_006_A01	Excitatory L6
F1S4_161209_006_B01	Excitatory L6
F1S4_161209_006_C01	Excitatory L6
F1S4_161209_006_D01	Excitatory L6
F1S4_161209_006_E01	Excitatory L6
F1S4_161209_006_F01	Excitatory L6
F1S4_161209_006_G01	Excitatory L6
F1S4_161209_006_H01	Excitatory L6
F1S4_161209_007_A01	Excitatory L6
F1S4_161209_007_B01	Excitatory L6
F1S4_161209_007_C01	Excitatory L6
F1S4_161209_007_D01	Excitatory L6
F1S4_161209_007_E01	Excitatory L6
F1S4_161209_007_F01	Excitatory L6
F1S4_161209_007_G01	Excitatory L6
F1S4_161209_007_H01	Excitatory L6
F1S4_161209_008_A01	Excitatory L6
F1S4_161209_008_B01	Excitatory L6
F1S4_161209_008_C01	Excitatory L6
F1S4_161209_008_D01	Excitatory L6
F1S4_161209_008_E01	Excitatory L6
F1S4_161209_008_F01	Excitatory L6
F1S4_161209_008_G01	Excitatory L6
F1S4_161209_008_H01	Excitatory L6
F1S4_161209_009_A01	Excitatory L6
F1S4_161209_009_B01	Excitatory L6
F1S4_161209_009_C01	Excitatory L6
F1S4_161209_009_D01	Excitatory L6
F1S4_161209_009_E01	Excitatory L6
F1S4_161209_009_F01	Excitatory L6
F1S4_161209_009_G01	Excitatory L6
F1S4_161209_009_H01	Excitatory L6
F1S4_161209_010_A01	Excitatory L6
F1S4_161209_010_B01	Excitatory L6
F1S4_161209_010_C01	Excitatory L6
F1S4_161209_010_D01	Excitatory L6
F1S4_161209_010_E01	Excitatory L6
F1S4_161209_010_G01	Excitatory L6
F1S4_161209_010_H01	Excitatory L6
F1S4_161209_011_A01	Excitatory L6
F1S4_161209_011_B01	Excitatory L6
F1S4_161209_011_C01	Excitatory L6
F1S4_161209_011_D01	Excitatory L6
F1S4_161209_011_E01	Excitatory L6
F1S4_161209_011_F01	Excitatory L6
F1S4_161209_011_G01	Excitatory L6
F1S4_161209_011_H01	Excitatory L6
F1S4_161209_012_A01	Excitatory L6
F1S4_161209_012_B01	Excitatory L6
F1S4_161209_012_C01	Excitatory L6
F1S4_161209_012_D01	Excitatory L6
F1S4_161209_012_E01	Excitatory L6
F1S4_161209_012_F01	Excitatory L6
F1S4_161209_012_H01	Excitatory L6
F1S4_161209_013_E01	Excitatory L6
F1S4_161209_013_F01	Excitatory L6
F1S4_161209_013_G01	Excitatory L6
F1S4_161209_013_H01	Excitatory L6
F1S4_170426_005_A01	Excitatory L6
F1S4_170426_005_B01	Excitatory L6
F1S4_170426_005_C01	Excitatory L6
F1S4_170426_005_D01	Excitatory L6
F1S4_170426_005_E01	Excitatory L6
F1S4_170426_005_F01	Excitatory L6
F1S4_170426_005_G01	Excitatory L6
F1S4_170426_005_H01	Excitatory L6
F1S4_170426_006_A01	Excitatory L6
F1S4_170426_006_B01	Excitatory L6
F1S4_170426_006_C01	Excitatory L6
F1S4_170426_006_D01	Excitatory L6
F1S4_170426_006_E01	Inhibitory Sst
F1S4_170426_006_F01	Excitatory L6
F1S4_170426_006_G01	Excitatory L6
F1S4_170426_006_H01	Inhibitory Sst
F1S4_170426_009_A01	Inhibitory Sst
F1S4_170426_009_B01	Inhibitory Vip
F1S4_170426_009_C01	Inhibitory Other
F1S4_170426_009_D01	Inhibitory Vip
F1S4_170426_009_E01	Inhibitory Sst
F1S4_170426_009_F01	Inhibitory Vip
F1S4_170426_009_H01	Excitatory L2/3
F1S4_170426_010_A01	Inhibitory Other
F1S4_170426_010_B01	Inhibitory Vip
F1S4_170426_010_C01	Excitatory L2/3
F1S4_170426_010_D01	Inhibitory Sst
F1S4_170426_010_E01	Inhibitory Vip
F1S4_170426_010_F01	Inhibitory Other
F1S4_170426_010_G01	Excitatory L2/3
F1S4_170426_010_H01	Inhibitory Other
F1S4_170426_011_A01	Inhibitory Vip
F1S4_170426_011_B01	Excitatory L2/3
F1S4_170426_011_C01	Inhibitory Other
F1S4_170426_011_D01	Inhibitory Vip
F1S4_170426_011_E01	Inhibitory Vip
F1S4_170426_011_F01	Inhibitory Other
F1S4_170426_011_G01	Inhibitory Vip
F1S4_170426_011_H01	Inhibitory Other
F1S4_170426_012_A01	Inhibitory Vip
F1S4_170426_012_B01	Inhibitory Pvalb
F1S4_170426_012_C01	Inhibitory Sst
F1S4_170426_012_D01	Inhibitory Vip
F1S4_170426_012_E01	Neuron Other
F1S4_170426_012_F01	Inhibitory Other
F1S4_170426_012_G01	Excitatory L2/3
F1S4_170426_012_H01	Inhibitory Vip
F1S4_170426_013_A01	Inhibitory Vip
F1S4_170426_013_C01	Excitatory L2/3
F1S4_170426_013_D01	Inhibitory Pvalb
F1S4_170426_013_E01	Inhibitory Vip
F1S4_170426_013_F01	Inhibitory Pvalb
F1S4_170426_013_G01	Inhibitory Vip
F1S4_170426_013_H01	Inhibitory Vip
F1S4_170426_014_A01	Excitatory L2/3
F1S4_170426_014_B01	Inhibitory Vip
F1S4_170426_014_C01	Inhibitory Vip
F1S4_170426_014_D01	Excitatory L2/3
F1S4_170426_014_E01	Inhibitory Vip
F1S4_170426_014_G01	Inhibitory Other
F1S4_170426_014_H01	Inhibitory Sst
F1S4_170426_015_A01	Excitatory L2/3
F1S4_170426_015_B01	Inhibitory Vip
F1S4_170426_015_C01	Inhibitory Pvalb
F1S4_170426_015_D01	Inhibitory Vip
F1S4_170426_015_E01	Inhibitory Vip
F1S4_170426_015_F01	Excitatory L2/3
F1S4_170426_015_G01	Inhibitory Other
F1S4_170426_015_H01	Inhibitory Vip
F1S4_170426_016_A01	Inhibitory Other
F1S4_170426_016_B01	Inhibitory Pvalb
F1S4_170426_016_C01	Inhibitory Other
F1S4_170426_016_D01	Inhibitory Pvalb
F1S4_170426_016_E01	Inhibitory Pvalb
F1S4_170426_016_F01	Excitatory L2/3
F1S4_170426_016_G01	Inhibitory Vip
F1S4_170426_016_H01	Excitatory L2/3
F1S4_170426_017_A01	Inhibitory Pvalb
F1S4_170426_017_B01	Inhibitory Vip
F1S4_170426_017_C01	Inhibitory Other
F1S4_170426_017_D01	Excitatory L2/3
F1S4_170426_017_E01	Excitatory L2/3
F1S4_170426_017_F01	Inhibitory Vip
F1S4_170426_017_G01	Inhibitory Pvalb
F1S4_170426_017_H01	Inhibitory Vip
F1S4_170426_022_A01	Inhibitory Sst
F1S4_170426_022_B01	Excitatory L6
F1S4_170426_022_C01	Excitatory L6
F1S4_170426_022_E01	Excitatory L6
F1S4_170426_022_F01	Excitatory L6
F1S4_170426_022_G01	Excitatory L6
F1S4_170426_022_H01	Excitatory L6
F1S4_170426_023_A01	Excitatory L6
F1S4_170426_023_B01	Excitatory L6
F1S4_170426_023_C01	Excitatory L6
F1S4_170426_023_D01	Excitatory L6
F1S4_170426_023_E01	Excitatory L6
F1S4_170426_023_F01	Excitatory L6
F1S4_170426_023_G01	Excitatory L6
F1S4_170426_024_A01	Excitatory L6
F1S4_170426_024_C01	Excitatory L6
F1S4_170426_024_D01	Excitatory L6
F1S4_170426_024_E01	Excitatory L6
F1S4_170426_024_F01	Excitatory L6
F1S4_170426_024_G01	Excitatory L6
F1S4_170426_024_H01	Excitatory L6
F1S4_170428_001_A01	Excitatory L6
F1S4_180108_301_A01	Inhibitory Other
F1S4_180108_301_B01	Inhibitory Other
F1S4_180108_301_C01	Inhibitory Other
F1S4_180108_301_D01	Inhibitory Sst
F1S4_180108_301_E01	Inhibitory Other
F1S4_180108_301_F01	Inhibitory Sst
F1S4_180108_301_G01	Inhibitory Sst
F1S4_180108_301_H01	Inhibitory Other
F1S4_180108_302_A01	Inhibitory Sst
F1S4_180108_302_B01	Inhibitory Other
F1S4_180108_302_C01	Inhibitory Sst
F1S4_180108_302_D01	Inhibitory Other
F1S4_180108_302_E01	Inhibitory Other
F1S4_180108_302_F01	Inhibitory Vip
F1S4_180108_302_G01	Inhibitory Vip
F1S4_180108_302_H01	Inhibitory Sst
F1S4_180108_303_A01	Inhibitory Vip
F1S4_180108_303_B01	Endo
F1S4_180108_303_D01	Inhibitory Other
F1S4_180108_303_E01	Inhibitory Vip
F1S4_180108_303_F01	Inhibitory Sst
F1S4_180108_303_G01	Inhibitory Pvalb
F1S4_180108_303_H01	Inhibitory Sst
F1S4_180108_304_A01	Inhibitory Vip
F1S4_180108_304_B01	Inhibitory Vip
F1S4_180108_304_C01	Inhibitory Other
F1S4_180108_304_D01	Inhibitory Sst
F1S4_180108_304_E01	Inhibitory Other
F1S4_180108_304_F01	Inhibitory Sst
F1S4_180108_304_G01	Inhibitory Vip
F1S4_180108_304_H01	Inhibitory Other
F1S4_180124_301_B01	Inhibitory Other
F1S4_180124_301_C01	Excitatory L2/3
F1S4_180124_301_D01	Excitatory L2/3
F1S4_180124_301_E01	Inhibitory Other
F1S4_180124_301_F01	Inhibitory Other
F1S4_180124_301_G01	Excitatory L2/3
F1S4_180124_302_A01	Excitatory L2/3
F1S4_180124_302_B01	Inhibitory Other
F1S4_180124_302_C01	Inhibitory Sst
F1S4_180124_302_D01	Excitatory L2/3
F1S4_180124_302_E01	Excitatory L2/3
F1S4_180124_302_F01	Inhibitory Other
F1S4_180124_302_G01	Excitatory L2/3
F1S4_180124_302_H01	Excitatory L2/3
F1S4_180124_303_A01	Excitatory L2/3
F1S4_180124_303_B01	Inhibitory Other
F1S4_180124_303_D01	Inhibitory Other
F1S4_180124_303_E01	Excitatory L2/3
F1S4_180124_303_F01	Excitatory L2/3
F1S4_180124_303_G01	Inhibitory Other
F1S4_180124_303_H01	Inhibitory Other
F1S4_180124_307_A01	Inhibitory Other
F1S4_180124_307_B01	Inhibitory Other
F1S4_180124_307_C01	Excitatory L2/3
F1S4_180124_307_D01	Inhibitory Other
F1S4_180124_307_E01	Excitatory L2/3
F1S4_180124_307_F01	Excitatory L2/3
F1S4_180124_307_G01	Inhibitory Other
F1S4_180124_307_H01	Inhibitory Other
F1S4_180124_308_A01	Inhibitory Other
F1S4_180124_308_B01	Inhibitory Vip
F1S4_180124_308_C01	Inhibitory Other
F1S4_180124_308_D01	Inhibitory Sst
F1S4_180124_308_E01	Inhibitory Other
F1S4_180124_308_F01	Inhibitory Other
F1S4_180124_308_G01	Inhibitory Sst
F1S4_180124_308_H01	Excitatory L6
F1S4_180124_309_A01	Inhibitory Other
F1S4_180124_309_B01	Inhibitory Other
F1S4_180124_309_C01	Inhibitory Sst
F1S4_180124_309_D01	Inhibitory Other
F1S4_180124_309_F01	Inhibitory Other
F1S4_180124_309_G01	Inhibitory Other
F1S4_180124_309_H01	Inhibitory Other
F1S4_180124_310_A01	Inhibitory Other
F1S4_180124_310_B01	Inhibitory Pvalb
F1S4_180124_310_C01	Inhibitory Other
F1S4_180124_310_D01	Inhibitory Other
F1S4_180124_310_E01	Inhibitory Other
F1S4_180124_310_F01	Inhibitory Other
F1S4_180124_310_G01	Inhibitory Other
F1S4_180124_310_H01	Excitatory L2/3
F1S4_180124_311_A01	Excitatory L2/3
F1S4_180124_311_B01	Excitatory L2/3
F1S4_180124_311_C01	Excitatory L2/3
F1S4_180124_311_D01	Excitatory L2/3
F1S4_180124_311_E01	Excitatory L2/3
F1S4_180124_311_F01	Excitatory L2/3
F1S4_180124_311_G01	Excitatory L2/3
F1S4_180124_311_H01	Inhibitory Other
F1S4_180124_312_A01	Excitatory L2/3
F1S4_180124_312_B01	Excitatory L2/3
F1S4_180124_312_C01	Excitatory L2/3
F1S4_180124_312_D01	Inhibitory Other
F1S4_180124_312_E01	Excitatory L2/3
F1S4_180124_312_F01	Inhibitory Other
F1S4_180124_312_H01	Excitatory L2/3
F1S4_180124_313_A01	Excitatory L2/3
F1S4_180124_313_B01	Excitatory L2/3
F1S4_180124_313_C01	Inhibitory Other
F1S4_180124_313_D01	Inhibitory Other
F1S4_180124_313_E01	Excitatory L2/3
F1S4_180124_313_F01	Inhibitory Other
F1S4_180124_313_G01	Inhibitory Other
F1S4_180124_313_H01	Excitatory L2/3
F1S4_180124_314_B01	Inhibitory Other
F1S4_180124_314_C01	Excitatory L2/3
F1S4_180124_314_D01	Excitatory L2/3
F1S4_180124_314_E01	Excitatory L2/3
F1S4_180124_314_F01	Excitatory L2/3
F1S4_180124_314_G01	Excitatory L2/3
F1S4_180124_314_H01	Excitatory L2/3
F1S4_180129_301_A01	Inhibitory Pvalb
F1S4_180129_301_B01	Inhibitory Pvalb
F1S4_180129_301_C01	Inhibitory Pvalb
F1S4_180129_301_D01	Inhibitory Pvalb
F1S4_180129_301_E01	Inhibitory Pvalb
F1S4_180129_301_F01	Inhibitory Pvalb
F1S4_180129_301_G01	Inhibitory Pvalb
F1S4_180129_301_H01	Inhibitory Sst
F1S4_180129_302_A01	Inhibitory Pvalb
F1S4_180129_302_B01	Excitatory L5
F1S4_180129_302_C01	Inhibitory Pvalb
F1S4_180129_302_D01	Inhibitory Pvalb
F1S4_180129_302_E01	Inhibitory Pvalb
F1S4_180129_302_F01	Inhibitory Pvalb
F1S4_180129_302_G01	Inhibitory Sst
F1S4_180129_302_H01	Inhibitory Pvalb
F1S4_180129_303_A01	Inhibitory Pvalb
F1S4_180129_303_B01	Inhibitory Pvalb
F1S4_180129_303_C01	Inhibitory Pvalb
F1S4_180129_303_E01	Inhibitory Pvalb
F1S4_180129_303_F01	Inhibitory Pvalb
F1S4_180129_303_G01	Inhibitory Pvalb
F1S4_180129_303_H01	Inhibitory Sst
F1S4_180129_304_A01	Inhibitory Sst
F1S4_180129_304_B01	Inhibitory Pvalb
F1S4_180129_304_C01	Inhibitory Pvalb
F1S4_180129_304_D01	Inhibitory Sst
F1S4_180129_304_E01	Inhibitory Sst
F1S4_180129_304_F01	Inhibitory Pvalb
F1S4_180129_304_G01	Inhibitory Pvalb
F1S4_180129_304_H01	Inhibitory Sst
F1S4_180129_305_A01	Inhibitory Pvalb
F1S4_180129_305_B01	Inhibitory Sst
F1S4_180129_305_C01	Inhibitory Pvalb
F1S4_180129_305_D01	Inhibitory Pvalb
F1S4_180129_305_E01	Inhibitory Pvalb
F1S4_180129_305_F01	Inhibitory Sst
F1S4_180129_305_G01	Inhibitory Pvalb
F1S4_180129_305_H01	Inhibitory Pvalb
F1S4_180129_306_A01	Inhibitory Pvalb
F1S4_180129_306_B01	Inhibitory Pvalb
F1S4_180129_306_C01	Inhibitory Sst
F1S4_180129_306_E01	Inhibitory Sst
F1S4_180129_306_F01	Inhibitory Pvalb
F1S4_180129_306_G01	Inhibitory Sst
F1S4_180129_306_H01	Inhibitory Pvalb
F1S4_180129_307_A01	Inhibitory Sst
F1S4_180129_307_B01	Inhibitory Pvalb
F1S4_180129_307_C01	Inhibitory Sst
F1S4_180129_307_D01	Inhibitory Sst
F1S4_180129_307_E01	Inhibitory Sst
F1S4_180129_307_F01	Inhibitory Sst
F1S4_180129_307_G01	Inhibitory Sst
F1S4_180129_307_H01	Inhibitory Pvalb
F1S4_180129_308_A01	Inhibitory Pvalb
F1S4_180129_308_B01	Inhibitory Sst
F1S4_180129_308_C01	Inhibitory Sst
F1S4_180129_308_D01	Inhibitory Pvalb
F1S4_180129_308_E01	Inhibitory Pvalb
F1S4_180129_308_F01	Inhibitory Sst
F1S4_180129_308_G01	Inhibitory Sst
F1S4_180129_308_H01	Inhibitory Sst
F1S4_180129_309_A01	Inhibitory Pvalb
F1S4_180129_309_B01	Inhibitory Pvalb
F1S4_180129_309_C01	Inhibitory Pvalb
F1S4_180129_309_D01	Inhibitory Pvalb
F1S4_180129_309_E01	Inhibitory Sst
F1S4_180129_309_F01	Inhibitory Pvalb
F1S4_180129_309_G01	Inhibitory Pvalb
F1S4_180129_309_H01	Inhibitory Sst
F1S4_180129_310_A01	Inhibitory Pvalb
F1S4_180129_310_B01	Inhibitory Pvalb
F1S4_180129_310_C01	Inhibitory Sst
F1S4_180129_310_D01	Inhibitory Pvalb
F1S4_180129_310_E01	Inhibitory Pvalb
F1S4_180129_310_F01	Inhibitory Sst
F1S4_180129_310_G01	Inhibitory Sst
F1S4_180129_310_H01	Inhibitory Sst
F1S4_180129_311_A01	Inhibitory Pvalb
F1S4_180129_311_B01	Inhibitory Pvalb
F1S4_180129_311_C01	Inhibitory Sst
F1S4_180129_311_D01	Inhibitory Sst
F1S4_180129_311_E01	Inhibitory Pvalb
F1S4_180129_311_F01	Inhibitory Sst
F1S4_180129_311_G01	Inhibitory Pvalb
