,PCC,SSIM,RMSE,JS
Seurat,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SpaOTsc,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.42857142857142855
LIGER,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
novoSpaRc,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285
Tangram,1.0,1.0,1.0,1.0
SpaGE,0.875,0.75,0.75,0.75
gimVI,0.75,0.875,0.875,0.875
SpaOTsc,0.625,0.5,0.625,0.625
Seurat,0.5,0.625,0.5,0.25
novoSpaRc,0.375,0.25,0.375,0.5
stPlus,0.25,0.375,0.25,0.375
LIGER,0.125,0.125,0.125,0.125
