X	Y
3943.12	-355.41
3871.12	-496.92
3774.32	-644.44
3734.02	-374.85
3632.42	-546.78
3623.42	-411.24
4253.22	-1202.5
4170.42	-1411.1
6953.87	-734.12
6939.31	-1601.5
6921.24	-1495.3
6840.72	-1033.3
6831.4	-723.27
6835.25	-863.07
6800.38	-1135.9
6774.13	-1297.7
6724.11	-701.05
6709.27	-854.93
6716.01	-352.2
6687.35	-995.24
6675.56	-1091.3
6668.01	-1468.1
6600.69	-1285.5
6588.96	-1700.8
6561.13	-653.28
6521.45	-726.66
6534.37	-1234.0
6525.94	-877.47
6479.36	-432.99
6486.6	-1599.6
6469.98	-1184.0
6474.36	-1715.2
6431.93	-966.9
6422.09	-856.05
6406.68	-716.81
6399.85	-1873.1
6395.82	-366.31
6385.38	-1698.0
6336.58	-1441.5
6360.15	-985.08
6359.06	-1559.7
6356.29	-482.59
6345.2	-859.35
6323.91	-1768.8
6315.73	-1052.8
6306.06	-469.33
6275.53	-1909.7
6257.98	-699.51
6241.22	-993.52
6246.83	-475.36
6233.12	-1725.6
6214.46	-775.74
6224.08	-914.75
6229.47	-1374.1
6198.16	-847.67
6211.56	-1124.1
6192.55	-499.0
6201.32	-336.15
6179.26	-1539.6
6116.47	-1473.9
6087.17	-904.01
6072.37	-520.84
6038.97	-413.05
6038.87	-1345.6
6017.67	-1487.5
6005.87	-1010.8
5996.07	-271.68
5980.97	-475.72
5989.77	-1259.8
5971.07	-580.9
5950.47	-1083.2
5955.67	-1612.4
5963.77	-748.67
5923.57	-1758.6
5918.57	-894.31
5909.47	-1354.0
5858.87	-1227.8
5850.27	-536.66
5804.97	-1534.4
5807.27	-784.88
5798.97	-432.49
5773.97	-1147.6
5739.27	-303.16
5693.07	-808.9
5669.27	-1609.4
5664.17	-1101.1
5647.17	-972.21
5623.87	-1185.6
5615.97	-1413.4
5614.07	-1297.3
5605.77	-762.65
5595.37	-430.62
5576.57	-1702.9
5568.87	-592.77
5567.07	-1867.0
5544.67	-1413.6
5525.57	-1781.4
5533.77	-1137.3
5502.67	-422.92
5495.17	-1050.7
5479.57	-1219.8
5454.17	-843.53
5444.27	-1895.4
5396.57	-447.82
5395.87	-538.71
5386.37	-1185.9
5359.97	-972.19
5360.37	-325.14
5388.07	-1581.5
5350.27	-1802.9
5294.27	-1108.7
6633.67	-1596.6
6480.8	-1298.9
6408.49	-1352.2
7552.12	429.62
7530.35	184.72
7502.43	609.95
